(block,32.19275664953483)
(,21.963155654139907)
(median,21.395095531400735)
(180,20.17870020707624)
(presents,20.17870020707624)
(produced,20.17870020707624)
(5th,14.263397020933823)
(references,14.263397020933823)
(efficiently,14.263397020933823)
(term,14.263397020933823)
(one-dimensional,14.263397020933823)
(2k,14.263397020933823)
(frequency,14.263397020933823)
(remaining,14.263397020933823)
(pastry,14.263397020933823)
(large-scale,14.263397020933823)
(operations.,14.263397020933823)
(developers,14.263397020933823)
(style,14.263397020933823)
(105,14.263397020933823)
